ligand,score,recconf,receptor
x02843_1,118.412889,1,8r82
x02848_1,-7.197346,1,8r82
x02858_1,-3.006105,1,8r82
x02859_1,8.135476,1,8r82
x02861_1,38.515663,1,8r82
x02865_1,-12.055685,1,8r82
x02872_1,11.479125,1,8r82
x02877_1,151.201484,1,8r82
x02878_1,-4.659439,1,8r82
x02882_1,2.480903,1,8r82
x02904_1,-2.43218,1,8r82
x02906_1,109.271452,1,8r82
x02909_1,69.605733,1,8r82
x02913_1,-11.95709,1,8r82
x02914_1,58.868908,1,8r82
x02920_1,152.788283,1,8r82
x02962_1,121.352459,1,8r82
x02989_1,23.871259,1,8r82
x03004_1,-9.040442,1,8r82
x03006_1,40.052312,1,8r82
x03015_1,47.567407,1,8r82
x03026_1,20.894999,1,8r82
x03030_1,30.108896,1,8r82
x03033_1,5.953635,1,8r82
x03037_1,-4.94702,1,8r82
x03039_1,13.807483,1,8r82
x03051_1,2.541038,1,8r82
x03055_1,-14.844007,1,8r82
x03059_1,3.155933,1,8r82
x03063_1,34.046678,1,8r82
x03065_1,-4.611197,1,8r82
x03080_1,38.504466,1,8r82
x03094_1,39.738556,1,8r82
x03096_1,-0.145379,1,8r82
x03117_1,44.661339,1,8r82
x03123_1,-4.146162,1,8r82
x03145_1,19.601123,1,8r82
x03147_1,65.879441,1,8r82
x03152_1,60.406045,1,8r82
x03161_1,16.688275,1,8r82
x03172_1,-5.577835,1,8r82
x03179_1,-1.131041,1,8r82
x03191_1,92.35914,1,8r82
x03194_1,-2.885008,1,8r82
x03204_1,95.953803,1,8r82
x03219_1,-15.571518,1,8r82
x03220_1,109.476749,1,8r82
x03223_1,48.363429,1,8r82
x03234_1,167.685402,1,8r82
x03244_1,-13.305253,1,8r82
x03250_1,12.30573,1,8r82
x03252_1,27.380372,1,8r82
x03259_1,-11.292982,1,8r82
x03260_1,10.639478,1,8r82
x03264_1,39.614954,1,8r82
x03271_1,3.809414,1,8r82
x03273_1,-9.52083,1,8r82
x03279_1,121.300238,1,8r82
x03282_1,40.556313,1,8r82
x03297_1,16.018329,1,8r82
x03306_1,-9.143074,1,8r82
x03319_1,34.97979,1,8r82
x03325_1,118.013361,1,8r82
x03331_1,-10.788317,1,8r82
x03363_1,32.86745,1,8r82
x03365_1,34.144448,1,8r82
x03371_1,-10.86559,1,8r82
x03385_1,138.852775,1,8r82
x03387_1,6.140841,1,8r82
x03400_1,-7.277796,1,8r82
x03401_1,12.706139,1,8r82
x03405_1,3.908377,1,8r82
x03406_1,-2.612868,1,8r82
x03420_1,8.586647,1,8r82
x03421_1,6.940861,1,8r82
x03425_1,24.762741,1,8r82
x03432_1,-2.160497,1,8r82
x03454_1,5.372674,1,8r82
x03462_1,22.187496,1,8r82
x03463_1,63.822049,1,8r82
x03464_1,44.167899,1,8r82
x03468_1,-13.25497,1,8r82
